編號,設置地點,詳細地址,所轄里鄰別,電話,原住民
0256,"永安國中（9 年 2 班教
室）",保寧里保興 1 路 3 號,保寧里 11-16 鄰,07-6912064,"(1) 
原住民"
0257,維新社區活動中心,"維新里光明 10 巷 66
號",維新里 1-9 鄰,07-6911572,"(2) 
原住民"
0258,"維新國小學生活動中
心","維新里光明 9 巷
69-10 號",維新里 10-16 鄰,07-6913816,(2)
第 3 選舉區,"",岡山區,"","",""
0259,"岡山國小北棟教室(1
年 2 班)","平安里柳橋東路 36
號",平安里全里(1-12 鄰),"6212032#20 
0921278166","(2) 
原住民"
0260,"岡山國小北棟教室(1
年 4 班)","平安里柳橋東路 36
號",岡山里 1-8 鄰,"6212032#20 
0921278166",(2)
0261,"壽天國小(親師聯絡
室)","壽天里公園東路 55
號",岡山里 9-12、23-28 鄰,"6246040#840 
0929371988",(2)
0262,岡山里活動中心東側,岡山里新樂街77-3號,岡山里 13-17 鄰,"6210789 
0932620179",(1)
0263,岡山里活動中心西側,岡山里新樂街77-3號,岡山里 18-22 鄰,"6210789 
0932620179","(1) 
原住民"
0264,岡山區老人活動中心,壽天里壽天路 66 號,壽天里 1-12 鄰,"6230164 
0955570320","(2) 
原住民"
0265,"岡山高中 (3 年 1 班教
室)",壽天里公園路 52 號,壽天里 13-20 鄰,"6212033#400 
0922986660",(2)
0266,壽天宮西側餐廳,壽天里公園路 40 號,壽天里 21-29 鄰,6212424,(2)
0267,"岡山國小北棟 (1 年 1
班教室)","平安里柳橋東路 36
號",維仁里全里(1-14 鄰),"6212032#20 
0921278166","(2) 
原住民"
0268,後紅社區活動中心,"後紅里大仁南路 76
號 1 樓",後紅里 1-11 鄰,"6213542 
0936409866",(2)
0269,"岡山國中教學行政大
樓(302 教室)",後紅里岡燕路 238 號,後紅里 13-20 鄰,"6212219#214 
0955066237","(2) 
原住民"
0270,"岡山國中教學行政大
樓(314 教室)",後紅里岡燕路 238 號,後紅里 12、21-24 鄰,"6212219#214 
0955066237",(2)
0271,大遼社區活動中心,大遼里大遼路 2 號,大遼里全里(1-9 鄰),0933655518,"(2) 
原住民"
0272,"勵志新城甲區活動中
心東側","忠孝里岡山路 89 巷
12 號 1 樓",忠孝里 1-8 鄰,"6296123 
0932093505",(2)
0273,"勵志新城甲區活動中
心西側","忠孝里岡山路 89 巷
12 號 1 樓",忠孝里 12-16、19 鄰,"6296123 
0932093505","(2) 
原住民"
0274,"空軍軍官招待所 B 棟
(忠孝社區發展協會關
懷據點)",忠孝里忠孝路 29 號,忠孝里 9-11、17-18 鄰,0928909614,(3)
0275,"和平國小(社會科教
室)",和平里和平路 1 號,和平全里(1-2 鄰),"6254220#40 
0933295921","(2) 
原住民"
0276,"前峰壽峰聯合活動中
心",壽峰里前峰路 102 號,前峰里 1-11、16-17 鄰,"6258936 
0921505195","(1) 
原住民"
0277,前峰國小(活動中心),仁壽里育英路 35 號,前峰里 12-15、18-23 鄰,"6262415#41 
0920125706",(2)
0278,劉厝里辦公處,劉厝里劉厝路 58 號,劉厝全里(1-12 鄰),0955970108,"(1) 
原住民"
0279,協和里活動中心東側,協和里協和街 64 號,協和里 1-7 鄰,6258909,(2)
0280,協和里活動中心西側,協和里協和街 64 號,協和里 8-14 鄰,6258909,"(2) 
原住民"
0281,協和里辦公處,協和里協和街 64 號,協和里 15-22 鄰,6258909,(2)
0282,後協代天府會議室,"後協里後協路 75 巷
28 號",後協里 1-11 鄰,6250020,"(1) 
原住民"
0283,後協代天府東側廟室,"後協里介壽西路 106
號",後協里 12-22 鄰,6250020,(3)
0284,大後協活動中心東側,"後協里後協路 75 巷 2
號",後協里 23-26 鄰,"6268456 
0972110961",(1)
0285,大後協活動中心西側,"後協里後協路 75 巷 2
號",後協里 27-33 鄰,"6268456 
0972110961",(1)
0286,兆湘國小(129 教室),"信義里介壽西路 60
號",信義里 1-7 鄰,"6252394#50 
0939622451",(2)
0287,兆湘國小(118 教室),"信義里介壽西路 60
號",信義里 8-17 鄰,"6252394#50 
0939622451","(2) 
原住民"
0288,潭底社區活動中心,"潭底里崑山西巷 20
號",潭底里全里(1-6 鄰),0936384331,"(2) 
原住民"
0289,三和社區活動中心,三和里山隙路 99 號,三和里全里(1-8 鄰),"6281212 
0911877014","(2) 
原住民"
0290,華南永昌證劵公司,前峰里民族路 88 號,仁壽里 1-4、22、24-30 鄰,"6255771#541 
0933282981",(3)
0291,"基督教台灣信義會岡
山教會",仁壽里柳橋西路 34 號,仁壽里 5-15 鄰,6258083,"(2) 
原住民"
0292,仁壽宮,"仁壽里正言街 76 巷 1
號",仁壽里 16-21、23、31 鄰,6263472,(2)
0293,"後紅國小(6 年級自然
科教室)","碧紅里岡燕路 2 巷 88
號",碧紅里 1-6 鄰,"6212815#40 
0958603036",(2)
0294,"後紅國小(學藝文教
室)","碧紅里岡燕路 2 巷 88
號",碧紅里 7-15 鄰,"6212815#40 
0958603036","(2) 
原住民"
0295,"後紅國小(社團專用
教室)","碧紅里岡燕路 2 巷 88
號",碧紅里 16-20 鄰,"6212815#40 
0958603036",(2)
0296,"程香社區活動中心北
側",程香里華園二路 15 號,程香里 1-6 鄰,"6216385 
0919889378","(2) 
原住民"
0297,"程香社區活動中心南
側",程香里華園二路 15 號,"程香里 9-11、13、16-19
鄰","6216385 
0919889378",(2)
0298,岡山國中(301 教室),後紅里岡燕路 238 號,"程香里 7-8、12、14-15、
20-22 鄰","6212219#214 
0955066237",(2)
0299,北高雄家扶中心,"竹圍里竹圍東街 182
巷 12 號",竹圍里 8、16、21-24 鄰,"6213993#219 
0985007377",(2)
0300,"岡山區社會福利服務
中心",竹圍里竹圍南街 99 號,"竹圍里 3、9、15、17-18
20 鄰","6220733 
0912118382",(2)
0301,竹圍社區活動中心,竹圍里竹圍中街 66 號,"竹圍里 2、4、10、13-14
19 鄰","6220229 
0910729838",(2)
0302,竹圍國小(B23 教室),竹圍里大仁北路 1 號,竹圍里 1、5-7、11-12 鄰,"6233032#2440 
0958531600","(2) 
原住民"
0303,台上里活動中心,"台上里嘉新東路 139-1
號","台上里 1-3、5-6、23、24
鄰","6218750 
0927946808",(1)
0304,"高雄市岡山區祥安長
壽會","台上里嘉新東路 139-1
號","台上里 4、7-10、14-15、
26 鄰",0918202391,(1)
0305,昌安宮(台上托兒所),台上里台上路 37 號,台上里 11-13、16、25 鄰,"6225477 
0919781799","(1) 
原住民"
0306,清水祠,台上里大富街 45 號,台上里 17-22 鄰,"6211320 
0932812223",(2)
0307,灣裡社區活動中心,灣裡里灣裡路 2 號,灣裡里 1-4 鄰,"6218982 
0961126678",(2)
0308,"岡山國小灣裡分校(1
年 5 班教室)",灣裡里灣裡路 80-1 號,灣裡里 5-9 鄰,"6220178 
0939007992","(2) 
原住民"
0309,白米里活動中心,"白米里白米路 301 巷
36 號",白米里 1-5 鄰,"6254571 
0929476522",(2)
0310,"岡山美墅國社區活動
中心",白米里光潭路 147 號,白米里 6-10 鄰,"6254571 
0929476522","(3) 
原住民"
0311,石潭社區活動中心,"石潭里石潭路 79 巷 1
號",石潭里 4-10 鄰,"6255405 
0928153255",(3)
0312,石潭里圖書館,"石潭里石潭路 205 巷
26 號",石潭里 1-3、11-14 鄰,0910867468,"(1) 
原住民"
0313,福興社區活動中心,"福興里頂潭路 13巷 61
號 1 樓",福興里全里(1-9 鄰),0937676222,"(1) 
原住民"
0314,本洲社區活動中心,"本洲里本洲一街 194
巷 11-1 號",本洲里 1-7 鄰,0932974120,"(1) 
原住民"
0315,北興宮,"本洲里本洲一街 194
巷 11 號",本洲里 8-13 鄰,"6244440 
0937374888",(2)
0316,"聖母宮東側廟堂(嘉
興里)",嘉興里嘉興路 80-1 號,嘉興里 2、7-11、25 鄰,6211724,(2)
0317,"聖母宮西側廟堂(嘉
興里)",嘉興里嘉興路 80-1 號,"嘉興里 3、5、13-20、22
26 鄰",6211724,"(2) 
原住民"
0318,"嘉興國小(3 年 3 班教
室)",嘉興里嘉興路 322 號,"嘉興里 1、4、6、12、21
23-24、27 鄰","6212414#40 
0931083308",(2)
0319,嘉峰里辦公處,嘉峰里宮中街 33 號,嘉峰里 1-12 鄰,0937630196,"(1) 
原住民"
0320,慈雲北極殿(會議室),嘉峰里田厝路 15 號,嘉峰里 13-15 鄰,"6282907 
0933592675",(2)
0321,清水宮,華崗里拕子南街 20 號,華崗里 1-6 鄰,"6282630 
0933370243","(2) 
原住民"
0322,華崗社區活動中心,"華崗里大埔二街 172
號",華崗里 7-10 鄰,"6285999 
0933659317",(2)
0323,關帝宮,"大莊里大莊路 295-1
號",大莊里全里(1-9 鄰),0982277689,"(2) 
原住民"
0324,"聖文生天主堂(道理
廳)",協榮里介壽西路 1 號,協榮里 1、9-16 鄰,0928327193,(2)
0325,"大後協社區資源回收
場",協榮里久和路 53-1 號,協榮里 2-8 鄰,6250020,"(1) 
原住民"
0326,為隨社區活動中心,為隨里為隨路 135 號,為隨里全里(1-5 鄰),0920820240,"(2) 
原住民"
0327,龍峰宮,前峰里大公路 6 號,壽峰里 6-7、9-12 鄰,6252723,"(2) 
原住民"
0328,"岡山高中(學生宿舍
餐廳)",壽天里公園路 52 號,壽峰里 1-5、8 鄰,"6212033#400 
0922986660",(2)
0329,"勵志新城乙區活動中
心東側","仁義里筧橋路 7 號 1
樓",仁義里 1-5 鄰,"6296664 
0935575835","(2) 
原住民"
0330,"勵志新城乙區活動中
心西側","仁義里筧橋路 7 號 1
樓",仁義里 6-10 鄰,"6296664 
0935575835",(2)
第 3 選舉區,"",燕巢區,"","",""
0331,燕巢國小尖山分校,"尖山里 1 鄰尖山巷
11-1 號",尖山里全里,6164905,"（1） 
原住民"
0332,瓊林社區活動中心,"瓊林里 16鄰瓊林路 10
號",瓊林里 1-10 鄰,6166711,"（1） 
原住民"
0333,"瓊林社區巡守隊辦公
室","瓊林里 16鄰瓊林路 10
號",瓊林里 11-19 鄰,6166711,（1）
0334,"安  招  社  區     
活  動  中  心","安招里 16 鄰安南路
1-2 號",安招里 1-3、29、40-46 鄰,6142095,（2）
0335,"安招里神元宮<左側
廟室>","安招里 16 鄰安南路 1
號",安招里 4-10、21-25 鄰,6161906,"（2） 
原住民"
0336,"安招里神元宮<右側
廟室>","安招里 16 鄰安南路 1
號","安招里 11-20、26、27、
28 鄰",6161906,（2）
0337,燕巢國中（特教教室,"南燕里 21 鄰中興路
267 號",安招里 30-39 鄰,6161267,（2）
0338,角宿社區活動中心,"角宿里 19 鄰角宿路
6-1 號",角宿里 1-5、19-20 鄰,6160413,（2）
0339,滾水觀水宮,"角宿里 10 鄰滾水路
150 號",角宿里 6-10、18 鄰,0921522969,"（2） 
原住民"
0340,海成社區活動中心,"角宿里 12 鄰海成二街
40 號",角宿里 11-17 鄰,0938290688,（1）
0341,鳳雄社區活動中心,"鳳雄里 3 鄰鳳旗路
152-8 號",鳳雄里 1-4、11-18、24 鄰,6153710,（2）
0342,鳳雄國小會議室,"鳳雄里 26鄰鳳加路 52
號","鳳雄里 5-10、19-23、25-26
鄰",6153782,"（2） 
原住民"
0343,清龍宮,"金山里 4 鄰鞍平巷
6-10 號",金山里全里,6163955,"（2） 
原住民"
0344,東燕社區活動中心,"東燕里 1 鄰中華路 10
號",東燕里 11-20、22-24 鄰,0932987235,"（2） 
原住民"
0345,燕巢國小（一年愛班,"東燕里 2鄰中華路 177
號",東燕里 1-10、21 鄰,6161495,（2）
0346,燕巢教會,"南燕里 10 鄰中南路
20-1 號","南燕里 1-9、12、13、15
18 
鄰",6161435,（1）
0347,燕巢區老人活動中心,"南燕里 29鄰中南路 23
號","南燕里 10-11、14、16、
17、19-24 
、29 鄰",6165700,（2）
0348,"高雄市立圖書館燕巢
分館","西燕里 2鄰中民路 592
號",南燕里 25-28、30-32 鄰,6168670,"（2） 
原住民"
0349,燕巢威靈寺,"西燕里 3鄰中民路 546
號","西燕里 1-5、12-14、19-23
鄰",6162116,（1）
0350,"燕巢國小    （一年
忠班）","東燕里 2鄰中華路 177
號",西燕里 6-11、24-31 鄰,6161495,"（2） 
原住民"
0351,"燕巢國小    （一年
孝班）","東燕里 2鄰中華路 177
號",西燕里 15-18、32-40 鄰,6161495,（2）
0352,"橫山國小    （一年
忠班）","橫山里 17鄰橫山路 24
號","橫山里 1-7、18-21、24-25
鄰",6152479,（1）
0353,"橫山國小    （視聽
教室）","橫山里 17鄰橫山路 24
號","橫山里 8-17、22、23、26
27 鄰",6152479,"（1） 
原住民"
0354,深水里辦公處,"深水里 10鄰深興路 86
號",深水里 10-21、24、26 鄰,0927891660,"（2） 
原住民"
0355,深水國小,"深水里 25 鄰深中路 2
號","深水里 1-9、 22、 23、
25 鄰",6152447,（1）
第 3 選舉區,"",彌陀區,"","",""
0356,光和社區活動中心,光和里光和路 79 號,光和里全里,6171436,"(3) 
原住民"
0357,彌靖社區活動中心,彌靖里中正北路 5 號,彌靖里 1-18 鄰,6171439,"(2) 
原住民"
0358,彌陀國小(樂齡教室),彌靖里中正路 213 號,彌靖里 19-30 鄰,"",(2)
0359,彌仁社區活動中心,"彌仁里中華路一巷一
弄 12 號",彌仁里全里,6171450,"(2) 
原住民"
0360,彌壽社區活動中心,"彌壽里中正西路一巷
5-2 號",彌壽里全里,6171451,"(2) 
原住民"
0361,彌陀社區活動中心,"彌陀里中正路自由巷
9 號",彌陀里 1-13 鄰,6171454,"(2) 
原住民"
0362,"彌陀社區活動中心
(東側車棚)","彌陀里中正路自由巷
9 號",彌陀里 14-21 鄰,(1)
0363,舊港社區活動中心,"舊港里舊港路南二巷
16 號",舊港里 1-12 鄰,6196422,"(1)原住
民"
0364,"高雄市彌陀老人福利
協進會(原老人活動
中心)","舊港里舊港路西二巷
1-9 號",舊港里 13-20 鄰,(2)
0365,壽齡國小(禮堂),文安里國校路 1 號,文安里 1-12 鄰,(2)
0366,壽齡國小(研習教室),文安里國校路 1 號,文安里 13-21 鄰,"(2) 
原住民"
0367,"鹽埕、過港社區康樂
室","過港里鹽港二路 53-6
號",過港里全里,6171434,"(2) 
原住民"
0368,安樂宮(東側廟室),過港里產業路 3 號,鹽埕里 1-16 鄰,(2)
0369,安樂宮(西側廟室),過港里產業路 3 號,鹽埕里 17-24 鄰,"(2) 
原住民"
0370,海尾社區活動中心,海尾里海尾路 54 號,海尾里全里,6171457,"(2) 
原住民"
0371,漯底社區活動中心,"漯底里樂安路廟巷 14
號",漯底里全里,6171460,"(2) 
原住民"
0372,南寮社區活動中心,"南寮里南寮路一○一
巷 10-1 號","南寮里 1-16,25-26 鄰",6171464,"(2) 
原住民"
0373,"南寮社區新庄活動中
心",南寮里新庄路 1-20 號,"南寮里 17-24,27 鄰",(2)
0374,梓信社區活動中心,梓信里中學路 73 號,"梓信里 1-4、12-14、
17-19",6170117,"（1） 
原住民",""
0375,"義氣堂旁右邊(舊梓
信社區活動中心)","梓信里梓官路 376
號","梓信里 5-11、15-16、
20-23",（3）,""
0376,"城隍廟右邊（舊梓義
社區活動中心）","梓義里梓官路城隍
巷 3 號",梓義里 1-3、6、10-11,（1）,""
0377,梓義社區活動中心,梓義里進學路 57 號,梓義里 4-5、7-9、12-17,6178984,"（1） 
原住民",""
0378,梓和社區活動中心,梓和里大宅街 38 號,"梓和里 1-3、9-10、
12-13、20、22-23",6170118,"（1） 
原住民"
0379,梓官區老人活動中心,"梓和里平等路 190
號",梓和里 4-8、11、21,6105088,（1）
0380,梓官國小音樂教室,梓和里進學路 61 號,梓和里 14-19,（1）
0381,梓平社區活動中心,"梓平里梓官路城隍
巷 123 之 1 號",梓平里全里,6170119,"（2） 
原住民"
0382,中崙社區活動中心,"中崙里中崙路 112
巷 49 號",中崙里全里,"（1） 
原住民"
0383,同安社區活動中心,"同安里同安路 183
號",同安里全里,6170120,"（1） 
原住民"
0384,"大舍社區活動中心右
邊","大舍里大舍東路公
厝巷 4 號",大舍里 1-16,（1）
0385,"大舍東路公厝巷 26
號鐵皮屋","大舍東路公厝巷 26
號鐵皮屋",大舍里 17-27,"（1） 
原住民"
0386,"大舍社區活動中心左
邊","大舍里大舍東路公
厝巷 4 號",大舍里 28-36,（1）
0387,赤崁社區活動中心,"赤崁里赤崁東路 57
號",赤崁里 1-10,6172818,"（2） 
原住民"
0388,"赤崁清進宮(林家清
水祖師廟)右邊","赤崁里赤崁北路 52
號",赤崁里 11-23,6103611,（3）
0389,赤東社區活動中心,"赤東里赤崁東路
48-5 號",赤東里 1-10、22-25,6178738,"（2） 
原住民"
0390,赤崁老人活動中心,"赤東里赤崁東路 56
巷 10 號",赤東里 11-21、26-27,6176575,（2）
0391,赤西社區活動中心,"赤西里赤崁南路
130 巷 26 號",赤西里全里,6192359,"（2） 
原住民"
0392,禮蚵社區活動中心,"禮蚵里光明路 79 巷
7 號",禮蚵里 1-5、10-15,6170122,（1）
0393,蚵寮國小樂活教室,"禮蚵里光明路 177
號",禮蚵里 6-9、16-22,6101044,"（1） 
原住民"
0394,民安宮,"智蚵里通安路 260
巷 10 之 1 號",智蚵里 1-14,6192434,（3）
0395,"智、信蚵社區聯合活
動中心右邊",信蚵里廣澤路 3 號,智蚵里 15-18,6170126,"（2） 
原住民"
0396,"舊信蚵社區活動中心
(通安宮邊)右邊","信蚵里通安路 305
巷 40 號",信蚵里 1-12,6101628,（2）
0397,"智、信蚵社區聯合活
動中心左邊",信蚵里廣澤路 3 號,信蚵里 13-14,6170126,"（2） 
原住民"
0398,茄苳社區活動中心,"茄苳里嘉好路 64 巷
1 號",茄苳里 1、12-19,6170128,"（1） 
原住民"
0399,茄苳里北極宮,"茄苳里嘉展路 420
號",茄苳里 2-11,（3）
0400,典寶代天府,典寶里展寶路 4 號,典寶里 1-6、17,6194455,（2）
0401,展寶橋聖安宮,"典寶里大舍南路
373 巷 35 號",典寶里 7-16,"（1） 
原住民"
第 3 選舉區,"",橋頭區,"","",""
0402,橋頭社區活動中心,橋頭里橋頭路 90 號,"橋頭里 2-4、6-7、
9-11、13、17-20 鄰",(07)6114130,"(1) 
原住民"
0403,橋頭國中活動中心,橋頭里新興路 70 號,"橋頭里 1、5、8、12
14-16、21-28 鄰",(2)
0404,橋南社區活動中心,"橋南里糖北路 3-1
號",橋南里全里,(07)6124419,"(2) 
原住民"
0405,仕隆社區活動中心,仕隆里仕隆路 62 號,仕隆里 1-17 鄰,(07)6110394,(2)
0406,"仕隆國小成人教育班
教室","仕隆里仕隆路進校
巷 16 號",仕隆里 18-30 鄰,"(3) 
原住民"
0407,"仕豐社區活動中心
（一）","仕豐里仕豊南路 49
號",仕豐里 1-14 鄰,(07)6114734,"(2) 
原住民"
0408,"仕豐社區活動中心
（長春亭）","仕豐里仕豊南路 49
號",仕豐里 15-28 鄰,(07)6114734,(2)
0409,芋寮社區活動中心,"芋寮里芋林路廟邊
巷 1-1 號",芋寮里全里,(07)6114870,"(1) 
原住民"
0410,東林社區活動中心,"東林里里林東路楊
厝巷 6 號",東林里 1-11 鄰,"(2) 
原住民"
0411,五里林天后宮,東林里東林路 31 號,東林里 12-24 鄰,(2)
0412,西林里辦公處,"西林里西林路文明
巷 35 號",西林里 1-10 鄰,(07)6120242,(1)
0413,西林社區活動中心,"西林里西林路文明
巷 35 號",西林里 11-18 鄰,(07)6120242,"(1) 
原住民"
